Place_ID,가게명,주소,요일,시간대,평균혼잡도
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,22시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,23시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,2시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,3시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,4시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,5시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,6시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,7시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,8시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,9시,27
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,0시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,10시,24
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,11시,45
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,12시,66
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,13시,69
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,14시,69
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,15시,66
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,16시,54
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,17시,48
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,18시,42
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,19시,45
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",목,1시,0
